date,team,goals_scored,goals_conceded,tournament,neutral
1930-02-23,Portugal,2.0,0.0,Friendly,False
1930-02-23,France,0.0,2.0,Friendly,False
1930-03-23,Switzerland,3.0,3.0,Friendly,False
1930-03-23,France,3.0,3.0,Friendly,False
1930-04-05,England,5.0,2.0,British Home Championship,False
1930-04-05,Scotland,2.0,5.0,British Home Championship,False
1930-04-13,France,1.0,6.0,Friendly,False
1930-04-13,Belgium,6.0,1.0,Friendly,False
1930-05-04,Germany,5.0,0.0,Friendly,False
1930-05-04,Netherlands,2.0,2.0,Friendly,False
1930-05-04,Belgium,2.0,2.0,Friendly,False
1930-05-04,Switzerland,0.0,5.0,Friendly,False
1930-05-10,England,3.0,3.0,Friendly,False
1930-05-10,Germany,3.0,3.0,Friendly,False
1930-05-14,England,0.0,0.0,Friendly,False
1930-05-14,Austria,0.0,0.0,Friendly,False
1930-05-18,Scotland,2.0,0.0,Friendly,False
1930-05-18,Netherlands,1.0,3.0,Friendly,False
1930-05-18,France,0.0,2.0,Friendly,False
1930-05-18,Belgium,3.0,1.0,Friendly,False
1930-05-25,France,2.0,1.0,Friendly,False
1930-05-25,Uruguay,1.0,1.0,Copa Newton,False
1930-05-25,Belgium,1.0,2.0,Friendly,False
1930-05-25,Argentina,1.0,1.0,Copa Newton,False
1930-06-08,Belgium,2.0,1.0,Friendly,False
1930-06-08,Portugal,1.0,2.0,Friendly,False
1930-06-15,Sweden,1.0,0.0,Friendly,False
1930-06-15,Switzerland,0.0,1.0,Friendly,False
1930-06-19,Norway,3.0,0.0,Friendly,False
1930-06-19,Switzerland,0.0,3.0,Friendly,False
1930-07-06,Norway,3.0,6.0,Nordic Championship,False
1930-07-06,Sweden,6.0,3.0,Nordic Championship,False
1930-07-13,France,4.0,1.0,FIFA World Cup,True
1930-07-13,Belgium,0.0,3.0,FIFA World Cup,True
1930-07-13,Mexico,1.0,4.0,FIFA World Cup,True
1930-07-13,United States,3.0,0.0,FIFA World Cup,True
1930-07-15,France,0.0,1.0,FIFA World Cup,True
1930-07-15,Argentina,1.0,0.0,FIFA World Cup,True
1930-07-17,United States,3.0,0.0,FIFA World Cup,True
1930-07-17,Paraguay,0.0,3.0,FIFA World Cup,True
1930-07-19,Mexico,3.0,6.0,FIFA World Cup,True
1930-07-19,Argentina,6.0,3.0,FIFA World Cup,True
1930-07-20,Paraguay,1.0,0.0,FIFA World Cup,True
1930-07-20,Belgium,0.0,1.0,FIFA World Cup,True
1930-07-26,United States,1.0,6.0,FIFA World Cup,True
1930-07-26,Argentina,6.0,1.0,FIFA World Cup,True
1930-07-30,Argentina,2.0,4.0,FIFA World Cup,False
1930-07-30,Uruguay,4.0,2.0,FIFA World Cup,False
1930-08-01,France,2.0,3.0,Friendly,False
1930-08-01,Brazil,3.0,2.0,Friendly,False
1930-08-17,Brazil,4.0,3.0,Friendly,False
1930-08-17,United States,3.0,4.0,Friendly,False
1930-09-28,Belgium,2.0,2.0,Friendly,False
1930-09-28,Sweden,2.0,2.0,Friendly,False
1930-11-02,Norway,1.0,1.0,Friendly,False
1930-11-02,Germany,1.0,1.0,Friendly,False
1930-11-02,Netherlands,3.0,6.0,Friendly,False
1930-11-02,Switzerland,6.0,3.0,Friendly,False
1930-11-16,Austria,4.0,1.0,Friendly,False
1930-11-16,Sweden,1.0,4.0,Friendly,False
1930-11-30,Spain,1.0,0.0,Friendly,False
1930-11-30,Portugal,0.0,1.0,Friendly,False
1930-12-07,Belgium,2.0,2.0,Friendly,False
1930-12-07,France,2.0,2.0,Friendly,False
1931-03-15,France,1.0,0.0,Friendly,False
1931-03-15,Germany,0.0,1.0,Friendly,False
