date,home_team,away_team,home_score,away_score,tournament,neutral,home_form,home_avg_scored,home_avg_conceded,away_form,away_avg_scored,away_avg_conceded,home_elo,away_elo,elo_diff,result
1930-02-23,Portugal,France,2.0,0.0,Friendly,False,,0.0,0.0,,0.0,0.0,1688,1547,141,W
1930-03-23,France,Switzerland,3.0,3.0,Friendly,False,-0.3989588083276156,0.0,2.0,,0.0,0.0,1547,1557,-10,D
1930-04-05,England,Scotland,5.0,2.0,British Home Championship,False,,0.0,0.0,,0.0,0.0,1956,2054,-98,W
1930-04-13,France,Belgium,1.0,6.0,Friendly,False,-0.3989588083276156,1.5,2.5,,0.0,0.0,1547,1648,-101,L
1930-05-04,Netherlands,Belgium,2.0,2.0,Friendly,False,,0.0,0.0,0.9140836440800078,6.0,1.0,1670,1648,22,D
1930-05-04,Switzerland,Germany,0.0,5.0,Friendly,False,0.0,3.0,3.0,,0.0,0.0,1557,1821,-264,L
1930-05-10,Germany,England,3.0,3.0,Friendly,False,0.9199923942033433,5.0,0.0,0.3640971825999359,5.0,2.0,1821,1956,-135,D
1930-05-14,Austria,England,0.0,0.0,Friendly,False,,0.0,0.0,0.3640971825999359,4.0,2.5,1955,1956,-1,D
1930-05-18,Belgium,Netherlands,3.0,1.0,Friendly,False,0.9140836440800078,4.0,1.5,0.0,2.0,2.0,1648,1670,-22,W
1930-05-18,France,Scotland,0.0,2.0,Friendly,False,-1.3727208286533124,1.3333333333333333,3.6666666666666665,-0.34672545723732945,2.0,5.0,1547,2054,-507,L
1930-05-25,Argentina,Uruguay,1.0,1.0,Copa Newton,False,,0.0,0.0,,0.0,0.0,2081,1960,121,D
1930-05-25,Belgium,France,1.0,2.0,Friendly,False,1.3087881523188218,3.6666666666666665,1.3333333333333333,-1.8581837387865603,1.0,3.25,1648,1547,101,L
1930-06-08,Belgium,Portugal,2.0,1.0,Friendly,False,1.1259714235028202,3.0,1.5,0.3656334576320031,2.0,0.0,1648,1688,-40,W
1930-06-15,Sweden,Switzerland,1.0,0.0,Friendly,False,,0.0,0.0,-1.0759833974594015,1.5,4.0,1807,1557,250,W
1930-06-19,Norway,Switzerland,3.0,0.0,Friendly,False,,0.0,0.0,-1.2895256269167479,1.0,3.0,1646,1557,89,W
1930-07-06,Sweden,Norway,6.0,3.0,Nordic Championship,False,0.18399847884066867,1.0,0.0,0.551995436522006,3.0,0.0,1807,1646,161,W
1930-07-13,Belgium,United States,0.0,3.0,FIFA World Cup,True,1.325450827666628,2.8,1.4,,0.0,0.0,1648,1672,-24,L
1930-07-13,France,Mexico,4.0,1.0,FIFA World Cup,True,-1.663431334721421,1.2,2.8,,0.0,0.0,1547,1613,-66,W
1930-07-15,Argentina,France,1.0,0.0,FIFA World Cup,True,0.0,1.0,1.0,1.5947716582882616,2.0,2.6,2081,1547,534,W
1930-07-17,Paraguay,United States,0.0,3.0,FIFA World Cup,True,,0.0,0.0,2.9212860609770903,3.0,0.0,1777,1672,105,L
1930-07-19,Argentina,Mexico,6.0,3.0,FIFA World Cup,True,0.9140836440800078,1.0,0.5,-2.7422509322400233,1.0,4.0,2081,1613,468,W
1930-07-20,Belgium,Paraguay,0.0,1.0,FIFA World Cup,True,-2.5524618782784856,1.6,1.8,-2.963829061865106,0.0,3.0,1648,1777,-129,L
1930-07-26,Argentina,United States,6.0,1.0,FIFA World Cup,True,3.7733278287620746,2.6666666666666665,1.3333333333333333,6.071240751727266,3.0,0.0,2081,1672,409,W
1930-07-30,Uruguay,Argentina,4.0,2.0,FIFA World Cup,False,0.0,1.0,1.0,8.713042931870584,3.5,1.25,1960,2081,-121,W
1930-08-01,Brazil,France,3.0,2.0,Friendly,False,,0.0,0.0,0.36516075762213607,1.4,2.2,1923,1547,376,W
1930-08-17,Brazil,United States,4.0,3.0,Friendly,False,0.18281672881600156,3.0,2.0,-0.07681375160336223,2.3333333333333335,2.0,1923,1672,251,W
1930-09-28,Belgium,Sweden,2.0,2.0,Friendly,False,-3.6024467751952107,1.2,1.6,0.47577255993097756,3.5,1.5,1648,1807,-159,D
1930-11-02,Germany,Norway,1.0,1.0,Friendly,False,0.9199923942033433,4.0,1.5,0.23168209233598647,3.0,3.0,1821,1646,175,D
1930-11-02,Switzerland,Netherlands,6.0,3.0,Friendly,False,-1.8730737890973657,0.75,3.0,-0.3895048081302787,1.5,2.5,1557,1670,-113,W
1930-11-16,Austria,Sweden,4.0,1.0,Friendly,False,0.0,0.0,0.0,0.47577255993097756,3.0,1.6666666666666667,1955,1807,148,W
1930-11-30,Portugal,Spain,0.0,1.0,Friendly,False,0.17088105356686376,1.5,1.0,,0.0,0.0,1688,1917,-229,L
1930-12-07,France,Belgium,2.0,2.0,Friendly,False,1.111672248204348,1.6,1.6,-3.997151283434025,1.0,1.8,1547,1648,-101,D
1931-03-15,France,Germany,1.0,0.0,Friendly,False,1.4049826043267242,2.0,1.6,0.9199923942033433,3.0,1.3333333333333333,1573,1814,-241,W
